,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV

","Web Platforms -
Web
Tizen
LG 
Web OS",Roku ,Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN,LOGOUT,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,FORGOT_PASSWORD,LINK_DEVICE,VIEW_CONTENT_DETAILS,FAVORITE_CONTENT,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,ERROR,SKIP_INTRO,SKIP_CREDITS,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW
,,appVersionId,String,Default,Custom,Custom,Unique identifier generated for each build or variant of the mobile application.  Does not apply to web,673198239,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,appBuild,String,Default,Custom,Default,Application build.  Does not apply to web,29,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Application Session,sessionId,String,Default,NA,Custom,A unique identifier for a single user session. A new sessionId is created each time the app is brought into the foreground.  For app collected events only,88996F14-35E9-4D5E-8846-EED8E62FBF9E,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,session,String,NA,Default,NA,A unique identifier for a single session. The session cookie expires when the user closes the browser.  A new session identifier will be assigned when the user opens up a new instance of the browser.  For web / smart tv  based collected events,E346B701-EB16-427D-B152-80D9DB728956,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,timeSinceLoad,Numeric,Default,NA,NA,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,sessionDuration,Numeric,Default,NA,NA,The length of time for which the user used the application in seconds.  See timeSinceLoad for better accuracy,601.2639999,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,sessionDurationSec,Numeric,NA,NA,Custom,The length of time for which the user used the application in seconds. ,601.2639999,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,Content,contentID,String,Custom,Custom,Custom,Unique identifier for content,73DF66D3-B2E8-4ADE-A353-EB9E73BC26B7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,externalContentID,String,Custom,Custom,Custom,Unique identifier for content from external system,F48FD40E-B7D4-4B79-92E9-7A215AAC6CC8-1586846597643,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,enrichmentContentID,String,Custom,Custom,Custom,Unique identifier for content from external system,G48FD40E-B7D4-4B79-92E9-7A215AAC6CC8-1586846597643,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,contentType,String,Custom,Custom,Custom,Content type,"movie, tvepisode, airing",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,contentName,String,Custom,Custom,Custom,Content name,S.02 E.26 - Love Island (HD),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,providerID,String,Custom,Custom,Custom,Content provider ID.  Not applicable for Univision currently,content_provider_name,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,contentDurationSec,Integer,Custom,Custom,Custom,Content duration (seconds),3158,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
,,channelID,String,Custom,Custom,Custom,Channel ID,9D157B99-C376-400E-B994-62F46776C69F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,channelName,String,Custom,Custom,Custom,Channel name,Live channel name,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,programID,String,Custom,Custom,Custom,Program ID,DD6A47DF-99BA-4303-85E5-8D2B2E98627A,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,programName,String,Custom,Custom,Custom,Program name,Program Name,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,contentGenre,String,Custom,Custom,Custom,Content genre,Reality,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,seriesID,String,Custom,Custom,Custom,Series ID,2CDF11F3-9026-493B-B318-D5FE1BBDD205,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,seriesName,String,Custom,Custom,Custom,Series name,The Sopranos,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,seasonNumber,String,Custom,Custom,Custom,Season number,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,episodeNumber,String,Custom,Custom,Custom,Episode number,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteTMSID,String,Custom,Custom,Custom,Gracenote TMS ID - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteRootID,String,Custom,Custom,Custom,Gracenote Root ID - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteSeriesID,String,Custom,Custom,Custom,Gracenote Series ID - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteSubType,String,Custom,Custom,Custom,Gracenote Sub Type - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteTitle,String,Custom,Custom,Custom,Gracenote Title - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteEntityType,String,Custom,Custom,Custom,Gracenote Entity Type - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteGenres,String,Custom,Custom,Custom,Gracenote Genres - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
,,gracenoteSportsEventTitle,String,Custom,Custom,Custom,Gracenote Sports Event Title - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,gracenoteSportsTeamBrandId,String,Custom,Custom,Custom,Gracenote Sports Team Brand ID - Live only,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,gracenoteSportsTeamNameHome,String,Custom,Custom,Custom,"Gracenote Sports Team Name, Home - Live only",TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,gracenoteSportsTeamNameAway,String,Custom,Custom,Custom,"Gracenote Sports Team Name, Away - Live only",TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,Playback,playbackSessionID,String,Custom,Custom,Custom,Unique identifier for playback session,b887aab3-a38f-42a7-a495-09710771f33a ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,O,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,programPlaybackSessionID,String,Custom,Custom,Custom,Unique identifier for program playback session,3e569888-372a-41f1-9df9-0b53ced9b689,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,streamID,String,Custom,Custom,Custom,Streaming session ID generated by Google IMA,TBD,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,playerName,String,Custom,Custom,Custom,Player name,Exoplayer,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,playbackURL,String,Custom,Custom,Custom,Playback URL,http://<hostname>/ss/s/afdt3754850020092602/2020-09-29-01-57-32/AFDM0000071527442800/output_hls.ism/index.mpd,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,O,Y,Y,O,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,lastPlayedVariant,String,Custom,Custom,Custom,Last played variant,3212336,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,lastAttemptedVariant,String,Custom,Custom,Custom,Last attempted variant,3212336,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,playbackStartedTimeSec,Integer,Custom,Custom,Custom,"Total time from PLAYBACK_START to PLAYBACK_STARTED captured in seconds, use decimal points to indicate milliseconds",5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,licenseLoadTimeMs,Integer,Custom,Custom,Custom,The time taken (in milliseconds) to acquire or load a DRM (Digital Rights Management) license,2300,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,preRollAdLoadTimeMs,Integer,Custom,Custom,Custom,The duration (in milliseconds) it takes to load a pre-roll ad,2300,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,ssaiStreamUrlFetchTimeMs,Integer,Custom,Custom,Custom,"The time (in milliseconds) it takes to fetch the streaming URL from the Server-Side Ad Insertion (SSAI) service,",2300,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,isDownloadable,Boolean,Custom,NA,NA,Content is downloadable,TRUE or FALSE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,playbackDurationSec,Integer,Custom,Custom,Custom,Total playback duration from playback started in seconds,241,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,programPlaybackDurationSec,Integer,Custom,Custom,Custom,Total playback duration for current program in seconds,60,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,isCasting,Boolean,Custom,NA,NA,Content is being casted,TRUE or FALSE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,contentLanguage,String,Custom,Custom,Custom,Lanuge of the content,"Content display Language - English, etc.",Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y
,,playbackMode,String,Custom,Custom,Custom,Mode of the player,"Enum:  live, catchup, vod",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,source,String,Custom,Custom,Custom,Source of event,"In-app banner, Content Details Page, Menu",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,ccEnabled,Boolean,Custom,Custom,Custom,Close captioning is enabled,TRUE or FALSE,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,currentPosition,Integer,Custom,Custom,Custom,Current position of the player,4069 secs,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,Error,errorCode,String,Custom,Custom,Custom,Application error,131334,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,errorMessage,String,Custom,Custom,Custom,Application error message,The server has responded with an error!,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,errorDescription,String,Custom,Custom,Custom,Application error description,"Optional<String>
        - some : ""{\""header\"":{\""code\"":-1,\""message\"":\""Failure\"",\""errors\"":[{\""description\"":\""Invalid content metadata\"",\""code\"":\""40050120\""}],\""source\"":\""005-01\"",\""system_time\"":1602825904729,\""tracking_id\"":\""3162d924-af26-4287-aac6-487a5add027d\""}}""",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,errorInternal,String,Custom,Custom,Custom,Application internal error,"Optional<QPError>
    ▿some : ErrorObject
      - errorCode : 40050120
      - errorDescription : ""Invalid content metadata",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
