,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Attribute,Data type,"Mobile Platforms -
IOS
Android
Android TV
Fire TV
Apple TV","Web Platforms -
Web
Tizen
LG 
Web OS",Description,Sample Values,APP_START,APP_FOREGROUND,APP_BACKGROUND,SIGN_UP,LOGIN_INITIATED,LOGIN,LOGOUT,TNC,CONSENT,SEARCH,VIEW_PLANS,SUBSCRIPTION_INITIATED,PAYMENT_INITIATED,PURCHASE_SUBSCRIPTION,PURCHASE_SUBSCRIPTION_CANCEL,PURCHASE_SUBSCRIPTION_FAILURE,CREATE_PROFILE,UPDATE_PROFILE,DELETE_PROFILE,FORGOT_PASSWORD,LINK_DEVICE,REMOVE_DEVICE,VIEW_CONTENT_DETAILS,RENT_CONTENT,FAVORITE_CONTENT,TAB_CLICK,CONTAINER_CLICK,COLLECTION_CLICK,SEARCH_CLICK,EPG_ITEM_CLICK,WATCHLIST_ITEM_CLICK,STOREFRONT_TAB_CHANGE,MENU_TAB_CHANGE,VIEW_COLLECTION_DETAILS,PLAYBACK_START,PLAYBACK_PREPARED,PLAYBACK_STARTED,PLAYBACK_INPROGRESS,PLAYBACK_BUFFERING_START,PLAYBACK_BUFFERING_END,PLAYBACK_SEEK_START,PLAYBACK_SEEK_COMPLETE,PLAYBACK_PAUSED,PLAYBACK_RESUMED,PLAYBACK_STOPPED,PLAYBACK_COMPLETE,PLAYBACK_VARIANT_CHANGE,PLAYBACK_AUDIO_LANGUAGE_CHANGE,PLAYBACK_SUBTITLE_LANGUAGE_CHANGE,NETWORK_CHANGE,ERROR,SKIP_INTRO,SKIP_INTRO,NEXT_EPISODE,DOWNLOAD_START,DOWNLOAD_PREPARED,DOWNLOAD_STARTED,DOWNLOAD_INPROGRESS,DOWNLOAD_PAUSED,DOWNLOAD_RESUMED,DOWNLOAD_STOPPED,DOWNLOAD_COMPLETED,DOWNLOAD_DELETED,DOWNLOAD_LICENSE_RENEWED,AD_BREAK_START,AD_START,AD_END,AD_BREAK_COMPLETE,AD_SKIP,AD_VIEW,BANNER_AD_CLICK,LINK_TO_MOBILE,LINK_TO_EMAIL,VIEW_APP
,,appBuild,Integer,Default,Custom,Application build,29,O,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Application Session,appSessionID,String,Custom,Custom,"A unique session ID generated by the application.  Generated when the app is first loaded into memory and does not reset until the app is closed, crashed, killed.  It stays the same across background and foreground",tvnz3_88996F14-35E9-4D5E-8846-EED8E62FBF9E,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,engagementSessionID,String,,,A unique engaged session ID generated by the application that expires after 30 minutes of no event activity.  Persists across profile switches,,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,timeSinceLoad,String,Default,Default,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,sessionDuration,Integer,Default,NA,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,sessionDurationSec,Integer,NA,NA,The length of time for which the user used the application in seconds.,601.2639999,Y,Y,Y,Y,Y,Y,Y,NA,NA,Y,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Content,contentID,String,Custom,Custom,Unique identifier for content,73DF66D3-B2E8-4ADE-A353-EB9E73BC26B7,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,O,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,externalContentID,String,Custom,Custom,Unique identifier for content from external system (VOD),F48FD40E-B7D4-4B79-92E9-7A215AAC6CC8-1586846597643,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,O,NA,O,O,O,O,O,N,O,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,enrichmentContentID,String,Custom,Custom,Unique identifier for content from external system (Live),G48FD40E-B7D4-4B79-92E9-7A215AAC6CC8-1586846597643,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,O,NA,O,O,O,O,O,Y,O,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,contentType,String,Custom,Custom,Content type,"Movie, TV Series, Shorts",N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,contentName,String,Custom,Custom,Content name,S.02 E.26 - Love Island (HD),N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,providerID,String,Custom,Custom,Content provider ID,content_provider_name,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,contentDurationSec,Integer,Custom,Custom,Content duration (seconds),3158,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,channelID,String,Custom,Custom,Channel ID,9D157B99-C376-400E-B994-62F46776C69F,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,O,NA,N,O,O,O,O,Y,O,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,channelName,String,Custom,Custom,Channel name,Live channel name,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,O,NA,N,O,O,O,O,Y,O,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,programID,String,Custom,Custom,Program ID,DD6A47DF-99BA-4303-85E5-8D2B2E98627A,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,O,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,programName,String,Custom,Custom,Program name,Program Name,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,O,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,contentGenre,String,Custom,Custom,Content genre,Reality,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,seriesID,String,Custom,Custom,Series ID,2CDF11F3-9026-493B-B318-D5FE1BBDD205,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,seriesName,String,Custom,Custom,Series name,The Sopranos,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,Y,NA,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,seasonNumber,String,Custom,Custom,Season number,3,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,Y,N,O,O,O,N,O,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,episodeNumber,String,Custom,Custom,Episode number,5,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,Y,N,O,O,O,N,O,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,Playback,playbackSessionID,String,Custom,Custom,Unique identifier for playback session,b887aab3-a38f-42a7-a495-09710771f33a ,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,tvnzStreamID,String,Custom,Custom,Unique identifier for playback session,b887aab3-a38f-42a7-a495-09710771f33a ,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,programPlaybackSessionID,String,Custom,Custom,Unique identifier for program playback session,3e569888-372a-41f1-9df9-0b53ced9b689,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,streamID,String,Custom,Custom,Streaming session ID generated by Google IMA,3e569888-372a-41f1-9df9-0b53ced9b689,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,playerName,String,Custom,Custom,Player name,Exoplayer,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,playbackURL,String,Custom,Custom,Playback URL,http://<hostname>/ss/s/afdt3754850020092602/2020-09-29-01-57-32/AFDM0000071527442800/output_hls.ism/index.mpd,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,O,Y,Y,Y,Y,NA,Y,Y,Y,O,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,drmName,String,Custom,Custom,DRM name,Widevine,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,drmVersion,String,Custom,Custom,DRM version,2.0,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y,Y,Y,Y,Y,NA,NA,NA,NA
,,videoResolution,String,Custom,Custom,Resolution of the video,1280x720,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,currentBandwidthKb,Integer,Custom,Custom,Bandwidth available to the device / player (Kilobits),8728,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,highestVariantBandwidthKb,Integer,Custom,Custom,Highest variant of Bandwidth played (Kilobits),277233,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,lowestVariantBandwidthKb,Integer,Custom,Custom,Lowest variant of Bandwidth played (Kilobits),6910,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NA,Y,Y,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
,,lastPlayedVariant,Integer,Custom,Custom,Last played variant (Kilobits),3212336,N,N,N,N,N,N,N,NA,NA,N,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,N,NA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,NA,Y,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA
